sessionid,query_desc,total,time,categorycode,campo_utilizado,sintaxis,cant_campos_utilizados,problema_detectado
4345de21f4154e604ec0759647fe81f5,"kw,wrdl: worris, ",0,2022-07-29 09:44:15,BIBLIOTECA,kw,worris,1,error de tipeo
4345de21f4154e604ec0759647fe81f5,"kw,wrdl: temple, ",0,2022-07-29 09:45:08,BIBLIOTECA,kw,temple,1,no hay resultados
010dd49f42096a99e63e82e042353e5f,"kw,wrdl: Prototipo de sistema de asistencia al paciente, ",0,2022-07-30 17:49:36,BIBLIOTECA,kw,Prototipo de sistema de asistencia al paciente,1,no había resultados en el tiempo de la consulta
010dd49f42096a99e63e82e042353e5f,"kw,wrdl: Daniel zacarías, ",0,2022-07-30 17:49:50,BIBLIOTECA,kw,Daniel zacarías,1,no había resultados en el tiempo de la consulta
010dd49f42096a99e63e82e042353e5f,"kw,wrdl: Daniel zacarías, ",0,2022-07-30 17:50:43,BIBLIOTECA,kw,Daniel zacarías,1,no había resultados en el tiempo de la consulta
010dd49f42096a99e63e82e042353e5f,"kw,wrdl: Daniel eduardo zacarías, ",0,2022-07-30 17:50:49,BIBLIOTECA,kw,Daniel eduardo zacarías,1,no había resultados en el tiempo de la consulta
010dd49f42096a99e63e82e042353e5f,"kw,wrdl: gutierrez candia, ",0,2022-07-30 17:50:59,BIBLIOTECA,kw,gutierrez candia,1,no hay resultados
010dd49f42096a99e63e82e042353e5f,"kw,wrdl: iturain, ",0,2022-07-30 17:51:12,BIBLIOTECA,kw,iturain,1,no hay resultados
010dd49f42096a99e63e82e042353e5f,"kw,wrdl: Ituraín, ",0,2022-07-30 17:51:21,BIBLIOTECA,kw,Ituraín,1,no hay resultados
010dd49f42096a99e63e82e042353e5f,"kw,wrdl: Ituraín, ",0,2022-07-30 17:51:23,BIBLIOTECA,kw,Ituraín,1,no hay resultados
df5336929995e391ad70c4a227f2649a,"ti,wrdl: cálculo en una variable and au,wrdl: James stewart, ",0,2022-08-11 08:10:12,BIBLIOTECA,"au, ti","cálculo en una variable and au, James stewart",2,combinacion de campos incorrecta
df5336929995e391ad70c4a227f2649a,"ti,wrdl: cálculo en una variable and au,wrdl: James stewart, mc-itype,phr:LIB or mc-itype,phr:C",0,2022-08-11 08:10:43,BIBLIOTECA,"au, mc-itype, mc-itype, ti","cálculo en una variable and au, James stewart, LIB or mc-itype, C",4,combinacion de campos incorrecta
630ec83bba4a0d8beff6652ec0acb54a,"au,wrdl: prometheus, ",0,2022-08-18 10:43:46,BIBLIOTECA,au,prometheus,1,campo incorrecto
630ec83bba4a0d8beff6652ec0acb54a,"au,wrdl: prometheus, ",0,2022-08-18 10:44:11,BIBLIOTECA,au,prometheus,1,campo incorrecto
09c4868691af87f5fcf99c1df80831cd,"ti,wrdl: pachaging, ",0,2022-08-22 13:52:00,BIBLIOTECA,ti,pachaging,1,error de tipeo
ab5cec55489b16214092f8c6d7ccd63a,"kw,wrdl: Artificial Intelligence: A Modern Approach, ",0,2022-08-23 21:42:42,DOCENTE,kw,Artificial Intelligence: A Modern Approach,1,no había resultados en el tiempo de la consulta
ab5cec55489b16214092f8c6d7ccd63a,"kw,wrdl: rusell, ",0,2022-08-23 21:42:59,DOCENTE,kw,rusell,1,error de tipeo
ab5cec55489b16214092f8c6d7ccd63a,"kw,wrdl: Raschka, ",0,2022-08-23 21:45:04,DOCENTE,kw,Raschka,1,no había resultados en el tiempo de la consulta
ab5cec55489b16214092f8c6d7ccd63a,"kw,wrdl: Raschka, ",0,2022-08-23 21:45:08,DOCENTE,kw,Raschka,1,no había resultados en el tiempo de la consulta
70d4df917d172de1be1807b497f92c0a,"kw,wrdl: QEEG, ",0,2022-08-25 11:29:29,BIBLIOTECA,kw,QEEG,1,no hay resultados
57696d77a7f6d6a251879486ffefb3e8,"kw,wrdl: chapmann, ",0,2022-08-26 09:58:00,BIBLIOTECA,kw,chapmann,1,error de tipeo
8e3e0098bbdd1dcfb5c2c770db7b60e8,"kw,wrdl: ben pansky, ",0,2022-08-29 19:57:34,BIBLIOTECA,kw,ben pansky,1,no hay resultados
